word,count,fraction
the,1871748,0.05517298543811878
of,993122,0.029273975793897147
in,807638,0.02380651648259882
and,725228,0.02137734026338802
a,635215,0.0187240525674795
is,477793,0.014083768878842176
to,455834,0.013436489657902364
was,344662,0.010159504114374848
for,217252,0.006403875645868023
it,216124,0.0063706259094856695
on,206446,0.00608535024573707
he,204394,0.006024864023169171
as,184670,0.005443465263944396
by,171094,0.005043289358690109
from,148777,0.0043854574731892314
with,146376,0.0043146838765101255
that,140306,0.004135760206438416
0,138775,0.0040906313532457
are,137705,0.004059091266429106
at,132943,0.003918723141736935
1,121349,0.003576970088884976
an,115011,0.0033901466587507928
2,109882,0.0032389605790476964
his,107039,0.003155158273608838
references,102862,0.0030320340281575157
other,100450,0.0029609361875952483
or,95313,0.002809514294158944
they,90170,0.0026579155404227333
this,83252,0.002453995614630957
also,78561,0.0023157203368210084
be,74541,0.0021972239358838967
has,74333,0.0021910927788204838
american,73775,0.002174644770929213
3,73591,0.0021692210550654247
were,71001,0.0020928763589392755
people,66605,0.001963296712541379
first,66601,0.001963178805674775
not,65999,0.001945433822250859
one,65297,0.0019247411671618412
which,62835,0.0018521694907670228
new,62451,0.00184085043157303
born,62094,0.0018303272437286148
she,61875,0.001823871842782041
4,60474,0.0017825749627539578
have,57376,0.0016912560945690888
redirect,55423,0.0016336880669496413
websites,52376,0.0015438725113139744
5,51814,0.0015273065965560996
there,50909,0.0015006301679869238
city,49848,0.0014693553716201887
their,49556,0.0014607481703580898
united,49432,0.0014570930574933632
had,48528,0.0014304461056408385
after,48107,0.0014180364079307579
but,46470,0.0013697830227730333
can,46382,0.0013671890717077432
who,45317,0.001335796368474404
may,45164,0.0013312864308267975
b,44469,0.0013108001127543365
6,44380,0.0013081766849723955
states,42856,0.0012632541687962366
when,42742,0.00125989382309802
about,42612,0.001256061849933387
many,42386,0.0012494001119702559
its,42227,0.0012447133140227433
her,42211,0.0012442416865563269
world,41327,0.0012181842690368227
two,40910,0.001205892478193346
known,40882,0.0012050671301271174
de,40422,0.001191507840467647
called,40232,0.0011859072643039526
used,39884,0.0011756493669093967
d,39788,0.0011728196021108983
all,39356,0.0011600856605176566
s,39302,0.0011584939178185013
county,38458,0.001133615568965038
most,38218,0.0011265411569687926
7,38141,0.0011242714497866637
time,38046,0.0011214711617048166
some,36358,0.00107171446399789
10,36097,0.001064021040951973
made,35996,0.0010610438925702196
